Trading Code,Date,Sponsor/Director,Govt,Institute,Foreign,Public
NTC,"Jun 30, 2022",48.6,4.33,8.55,0.0,38.52
NTC,"Apr 30, 2023",44.9,4.33,14.75,0.0,36.02
NTC,"May 31, 2023",44.9,4.33,14.75,0.0,36.02
NTLTUBES,"Jun 30, 2022",0.05,51.0,6.54,0.0,42.41
NTLTUBES,"Apr 30, 2023",0.05,51.0,16.08,0.0,32.87
NTLTUBES,"May 31, 2023",0.05,51.0,16.18,0.0,32.77
NURANI,"Jun 30, 2020",30.93,0.0,16.81,0.0,52.26
NURANI,"Jan 31, 2021",30.93,0.0,17.28,0.0,51.79
NURANI,"Feb 28, 2021",30.93,0.0,17.28,0.0,51.79
OAL,"Jun 30, 2022",44.43,0.0,5.02,0.0,50.55
OAL,"Apr 30, 2023",25.81,0.0,18.48,0.0,55.71
OAL,"May 31, 2023",25.81,0.0,18.62,0.0,55.57
OIMEX,"Jun 30, 2022",30.01,0.0,28.62,0.0,41.37
OIMEX,"Apr 30, 2023",30.01,0.0,31.15,0.0,38.84
OIMEX,"May 31, 2023",30.01,0.0,31.27,0.0,38.72
OLYMPIC,"Jun 30, 2022",37.34,0.0,20.09,25.66,16.91
OLYMPIC,"Apr 30, 2023",40.66,0.0,22.36,23.25,13.73
OLYMPIC,"May 31, 2023",40.66,0.0,22.08,23.54,13.72
ONEBANKLTD,"Dec 31, 2021",32.06,0.0,21.69,0.22,46.03
ONEBANKLTD,"Apr 30, 2023",32.04,0.0,31.72,0.22,36.02
ONEBANKLTD,"May 31, 2023",32.04,0.0,31.68,0.22,36.06
ORIONINFU,"Jun 30, 2022",40.61,0.0,16.76,0.19,42.44
ORIONINFU,"Apr 30, 2023",40.61,0.0,8.24,0.13,51.02
ORIONINFU,"May 31, 2023",40.61,0.0,7.51,0.1,51.78
ORIONPHARM,"Jun 30, 2022",31.98,0.0,28.65,1.16,38.21
ORIONPHARM,"Apr 30, 2023",31.98,0.0,20.39,1.18,46.45
ORIONPHARM,"May 31, 2023",31.98,0.0,20.49,1.18,46.35
PADMALIFE,"Dec 31, 2021",34.79,0.0,20.63,0.0,44.58
PADMALIFE,"Apr 30, 2023",31.56,0.0,17.12,0.0,51.32
PADMALIFE,"May 31, 2023",31.56,0.0,20.81,0.0,47.63
PADMAOIL,"Jun 30, 2022",2.06,50.35,32.82,0.86,13.91
PADMAOIL,"Apr 30, 2023",2.06,50.35,32.0,0.83,14.76
PADMAOIL,"May 31, 2023",2.06,50.35,31.97,0.83,14.79
PAPERPROC,"Jun 30, 2022",42.03,0.0,0.54,0.0,57.43
PAPERPROC,"Apr 30, 2023",35.0,0.0,11.59,0.0,53.41
PAPERPROC,"May 31, 2023",35.0,0.0,10.44,0.0,54.56
PARAMOUNT,"Dec 31, 2021",48.48,0.0,8.52,0.03,42.97
PARAMOUNT,"Apr 30, 2023",48.49,0.0,14.17,0.02,37.32
PARAMOUNT,"May 31, 2023",48.49,0.0,12.75,0.02,38.74
PBLPBOND,"Dec 31, 2020",0.0,0.0,0.0,0.0,0.0
PDL,"Jun 30, 2022",30.12,0.0,12.64,0.0,57.24
PDL,"Apr 30, 2023",30.12,0.0,12.78,0.0,57.1
PDL,"May 31, 2023",30.12,0.0,12.79,0.0,57.09
PENINSULA,"Jun 30, 2022",49.83,0.0,14.66,0.16,35.35
PENINSULA,"Apr 30, 2023",49.92,0.0,12.08,0.15,37.85
PENINSULA,"May 31, 2023",49.92,0.0,12.02,0.14,37.92
PEOPLESINS,"Dec 31, 2021",30.41,0.0,20.41,0.0,49.18
PEOPLESINS,"Apr 30, 2023",30.42,0.0,11.86,0.0,57.72
PEOPLESINS,"May 31, 2023",30.42,0.0,15.16,0.0,54.42
PF1STMF,"Jun 30, 2022",33.33,0.0,13.35,0.01,53.31
PF1STMF,"Apr 30, 2023",33.33,0.0,18.54,0.01,48.12
PF1STMF,"May 31, 2023",33.33,0.0,26.25,0.01,40.41
PHARMAID,"Jun 30, 2022",24.22,0.0,14.95,0.0,60.83
PHARMAID,"Apr 30, 2023",23.59,0.0,15.57,0.0,60.84
PHARMAID,"May 31, 2023",23.59,0.0,15.57,0.0,60.84
PHENIXINS,"Dec 31, 2022",36.02,0.0,7.76,0.0,56.22
PHENIXINS,"Apr 30, 2023",36.02,0.0,9.04,0.0,54.94
PHENIXINS,"May 31, 2023",36.02,0.0,9.67,0.0,54.31
PHOENIXFIN,"Dec 31, 2021",32.6,0.0,27.0,0.0,40.4
PHOENIXFIN,"Apr 30, 2023",30.51,0.0,23.81,0.0,45.68
PHOENIXFIN,"May 31, 2023",30.51,0.0,23.56,0.0,45.93
PHPMF1,"Jun 30, 2022",10.26,0.0,42.4,0.0,47.34
PHPMF1,"Apr 30, 2023",0.0,0.0,52.96,0.0,47.04
PHPMF1,"May 31, 2023",0.0,0.0,52.97,0.0,47.03
PIONEERINS,"Dec 31, 2022",45.62,0.0,24.7,0.0,29.68
PIONEERINS,"Apr 30, 2023",45.62,0.0,25.17,0.0,29.21
PIONEERINS,"May 31, 2023",45.62,0.0,26.32,0.0,28.06
PLFSL,"Dec 31, 2017",29.88,0.0,10.66,1.02,58.44
PLFSL,"Apr 30, 2023",23.21,0.0,8.62,0.19,67.98
PLFSL,"May 31, 2023",23.21,0.0,8.62,0.19,67.98
POPULAR1MF,"Jun 30, 2022",10.0,0.0,27.3,0.0,62.7
POPULAR1MF,"Apr 30, 2023",10.0,0.0,20.09,0.0,69.91
POPULAR1MF,"May 31, 2023",10.0,0.0,19.97,0.0,70.03
POPULARLIF,"Dec 31, 2021",30.01,0.0,10.53,0.0,59.46
POPULARLIF,"Apr 30, 2023",23.7,0.0,12.99,0.0,63.31
POPULARLIF,"May 31, 2023",23.7,0.0,16.63,0.0,59.67
POWERGRID,"Jun 30, 2022",75.0,0.0,15.77,0.19,9.04
POWERGRID,"Apr 30, 2023",75.0,0.0,15.84,0.06,9.1
POWERGRID,"May 31, 2023",75.0,0.0,15.89,0.06,9.05
PRAGATIINS,"Dec 31, 2021",42.07,0.0,20.94,0.0,36.99
PRAGATIINS,"Apr 30, 2023",41.94,0.0,19.04,0.0,39.02
PRAGATIINS,"May 31, 2023",41.94,0.0,19.41,0.0,38.65
PRAGATILIF,"Dec 31, 2021",38.37,0.0,30.7,0.0,30.93
PRAGATILIF,"Apr 30, 2023",38.37,0.0,29.33,0.0,32.3
PRAGATILIF,"May 31, 2023",38.37,0.0,34.34,0.0,27.29
PREBPBOND,"Dec 31, 2021",0.0,0.0,0.0,0.0,0.0
PREMIERBAN,"Dec 31, 2021",34.97,0.0,17.88,1.95,45.2
PREMIERBAN,"Apr 30, 2023",34.97,0.0,23.82,0.82,40.39
PREMIERBAN,"May 31, 2023",34.97,0.0,23.63,0.82,40.58
PREMIERCEM,"Jun 30, 2022",47.15,0.0,20.84,0.03,31.98
PREMIERCEM,"Apr 30, 2023",47.15,0.0,23.7,0.04,29.11
PREMIERCEM,"May 31, 2023",47.15,0.0,22.53,0.03,30.29
PREMIERLEA,"Dec 31, 2021",30.0,0.0,24.62,0.0,45.38
PREMIERLEA,"Apr 30, 2023",30.0,0.0,24.06,0.0,45.94
PREMIERLEA,"May 31, 2023",30.0,0.0,23.93,0.0,46.07
PRIME1ICBA,"Jun 30, 2022",20.0,0.0,58.85,1.95,19.2
PRIME1ICBA,"Apr 30, 2023",20.0,0.0,58.66,1.95,19.39
PRIME1ICBA,"May 31, 2023",20.0,0.0,58.68,1.95,19.37
PRIMEBANK,"Dec 31, 2022",39.21,0.0,38.09,0.5,22.2
PRIMEBANK,"Apr 30, 2023",39.21,0.0,38.78,0.5,21.51
PRIMEBANK,"May 31, 2023",39.21,0.0,38.8,0.5,21.49
PRIMEFIN,"Dec 31, 2020",59.14,0.0,12.28,0.01,28.57
PRIMEFIN,"Apr 30, 2023",59.14,0.0,7.76,0.01,33.09
PRIMEFIN,"May 31, 2023",59.14,0.0,7.74,0.01,33.11
PRIMEINSUR,"Dec 31, 2021",30.45,0.0,19.24,0.0,50.31
PRIMEINSUR,"Apr 30, 2023",30.04,0.0,25.27,0.0,44.69
PRIMEINSUR,"May 31, 2023",30.04,0.0,25.26,0.0,44.7
PRIMELIFE,"Dec 31, 2021",36.08,0.0,39.7,0.09,24.13
PRIMELIFE,"Apr 30, 2023",34.08,0.0,41.57,0.06,24.29
PRIMELIFE,"May 31, 2023",36.08,0.0,39.87,0.04,24.01
PRIMETEX,"Jun 30, 2022",50.0,0.0,13.98,0.25,35.77
PRIMETEX,"Apr 30, 2023",50.0,0.0,4.65,0.25,45.1
PRIMETEX,"May 31, 2023",50.0,0.0,4.65,0.25,45.1
PROGRESLIF,"Dec 31, 2019",39.49,0.0,18.51,0.0,42.0
PROGRESLIF,"Apr 30, 2023",38.82,0.0,10.75,0.0,50.43
PROGRESLIF,"May 31, 2023",38.82,0.0,10.75,0.0,50.43
PROVATIINS,"Dec 31, 2021",30.03,0.0,23.48,0.0,46.49
PROVATIINS,"Apr 30, 2023",30.03,0.0,13.69,0.0,56.28
PROVATIINS,"May 31, 2023",30.03,0.0,18.68,0.0,51.29
PTL,"Jun 30, 2022",60.95,0.0,9.26,4.1,25.69
PTL,"Apr 30, 2023",60.95,0.0,9.42,4.38,25.25
PTL,"May 31, 2023",60.95,0.0,10.04,4.38,24.63
PUBALIBANK,"Dec 31, 2022",31.5,0.0,27.65,0.21,40.64
PUBALIBANK,"Apr 30, 2023",31.5,0.0,27.77,0.19,40.54
PUBALIBANK,"May 31, 2023",31.5,0.0,27.78,0.19,40.53
PURABIGEN,"Dec 31, 2021",31.57,0.0,9.54,0.0,58.89
PURABIGEN,"Apr 30, 2023",31.58,0.0,23.92,0.01,44.49
PURABIGEN,"May 31, 2023",31.58,0.0,27.45,0.0,40.97
QUASEMIND,"Jun 30, 2022",30.0,0.0,16.96,0.0,53.04
QUASEMIND,"Apr 30, 2023",30.0,0.0,13.94,0.0,56.06
QUASEMIND,"May 31, 2023",30.0,0.0,14.0,0.0,56.0
QUEENSOUTH,"Jun 30, 2022",53.23,0.0,14.53,1.57,30.67
QUEENSOUTH,"Apr 30, 2023",53.23,0.0,6.83,1.58,38.36
QUEENSOUTH,"May 31, 2023",53.23,0.0,7.93,1.58,37.26
RAHIMAFOOD,"Jun 30, 2022",37.38,0.0,13.19,4.99,44.44
RAHIMAFOOD,"Apr 30, 2023",37.38,0.0,10.88,4.99,46.75
RAHIMAFOOD,"May 31, 2023",37.38,0.0,10.88,4.99,46.75
RAHIMTEXT,"Jun 30, 2022",70.94,0.0,5.98,0.0,23.08
RAHIMTEXT,"Apr 30, 2023",70.94,0.0,7.52,0.0,21.54
RAHIMTEXT,"May 31, 2023",70.94,0.0,7.49,0.0,21.57
RAKCERAMIC,"Dec 31, 2022",72.08,0.0,16.28,0.0,11.64
RAKCERAMIC,"Apr 30, 2023",72.08,0.0,16.3,0.0,11.62
RAKCERAMIC,"May 31, 2023",72.08,0.0,16.31,0.0,11.61
RANFOUNDRY,"Jun 30, 2022",49.89,0.0,16.62,0.0,33.49
RANFOUNDRY,"Apr 30, 2023",49.89,0.0,16.71,0.0,33.4
RANFOUNDRY,"May 31, 2023",49.89,0.0,16.72,0.0,33.39
RDFOOD,"Jun 30, 2022",36.19,0.0,19.66,0.0,44.15
RDFOOD,"Apr 30, 2023",37.51,0.0,17.26,0.0,45.23
RDFOOD,"May 31, 2023",37.51,0.0,16.27,0.0,46.22
RECKITTBEN,"Dec 31, 2022",82.96,3.77,4.49,2.82,5.96
RECKITTBEN,"Apr 30, 2023",82.96,3.78,4.52,2.78,5.96
RECKITTBEN,"May 31, 2023",82.96,3.78,4.54,2.78,5.94
REGENTTEX,"Jun 30, 2021",54.55,0.0,6.0,0.0,39.45
REGENTTEX,"Jul 31, 2022",54.55,0.0,4.69,0.0,40.76
REGENTTEX,"May 31, 2023",54.55,0.0,4.61,0.0,40.84
RELIANCE1,"Jun 30, 2022",20.0,0.0,35.47,0.0,44.53
RELIANCE1,"Apr 30, 2023",20.0,0.0,36.74,0.0,43.26
RELIANCE1,"May 31, 2023",20.0,0.0,37.24,0.0,42.76
RELIANCINS,"Dec 31, 2022",64.24,0.0,1.71,0.0,34.05
RELIANCINS,"Apr 30, 2023",64.24,0.0,2.46,0.0,33.3
RELIANCINS,"May 31, 2023",64.24,0.0,2.46,0.0,33.3
RENATA,"Jun 30, 2022",51.29,0.0,19.39,22.91,6.41
RENATA,"Apr 30, 2023",51.29,0.0,19.42,22.73,6.56
RENATA,"May 31, 2023",51.29,0.0,19.43,22.72,6.56
RENWICKJA,"Jun 30, 2022",0.0,51.0,21.43,0.0,27.57
RENWICKJA,"Apr 30, 2023",0.0,51.0,21.39,0.0,27.61
RENWICKJA,"May 31, 2023",0.0,51.0,21.25,0.0,27.75
REPUBLIC,"Dec 31, 2021",31.67,0.0,17.74,0.0,50.59
REPUBLIC,"Apr 30, 2023",38.31,0.0,16.95,0.0,44.74
REPUBLIC,"May 31, 2023",38.31,0.0,17.56,0.0,44.13
RINGSHINE,"Jun 30, 2019",0.0,0.0,0.0,0.0,0.0
RINGSHINE,"Mar 31, 2023",21.32,0.0,11.07,6.79,60.82
RINGSHINE,"Apr 30, 2023",21.32,0.0,11.07,6.79,60.82
RNSPIN,"Jun 30, 2022",30.0,0.0,11.03,0.04,58.93
RNSPIN,"Apr 30, 2023",30.0,0.0,10.82,0.04,59.14
RNSPIN,"May 31, 2023",30.0,0.0,10.83,0.04,59.13
ROBI,"Dec 31, 2022",90.0,0.0,1.66,0.0,8.34
ROBI,"Apr 30, 2023",90.0,0.0,1.65,0.0,8.35
ROBI,"May 31, 2023",90.0,0.0,1.65,0.0,8.35
RSRMSTEEL,"Jun 30, 2021",47.03,0.0,18.52,0.0,34.45
RSRMSTEEL,"Apr 30, 2023",29.93,0.0,33.63,0.0,36.44
RSRMSTEEL,"May 31, 2023",29.93,0.0,35.16,0.0,34.91
RUNNERAUTO,"Jun 30, 2022",41.23,0.0,35.56,0.0,23.21
RUNNERAUTO,"Apr 30, 2023",41.23,0.0,35.44,0.0,23.33
RUNNERAUTO,"May 31, 2023",41.23,0.0,35.45,0.0,23.32
RUPALIBANK,"Dec 31, 2021",0.0,90.19,4.38,0.0,5.43
RUPALIBANK,"Apr 30, 2023",0.0,90.19,4.54,0.0,5.27
RUPALIBANK,"May 31, 2023",0.0,90.19,4.54,0.0,5.27
RUPALIINS,"Dec 31, 2021",46.25,0.0,10.78,0.0,42.97
RUPALIINS,"Apr 30, 2023",46.47,0.0,13.52,0.0,40.01
RUPALIINS,"May 31, 2023",46.47,0.0,13.93,0.0,39.6
RUPALILIFE,"Dec 31, 2021",32.07,0.0,9.63,0.0,58.3
RUPALILIFE,"Mar 31, 2023",32.07,0.0,24.4,0.0,43.53
RUPALILIFE,"Apr 30, 2023",32.07,0.0,26.55,0.0,41.38
SAFKOSPINN,"Jun 30, 2022",30.0,0.0,13.71,0.0,56.29
SAFKOSPINN,"Apr 30, 2023",30.0,0.0,3.7,0.0,66.3
SAFKOSPINN,"May 31, 2023",30.0,0.0,3.4,0.0,66.6
SAIFPOWER,"Jun 30, 2022",40.06,0.0,17.9,0.0,42.04
SAIFPOWER,"Apr 30, 2023",40.06,0.0,17.75,0.0,42.19
SAIFPOWER,"May 31, 2023",40.06,0.0,17.68,0.0,42.26
SAIHAMCOT,"Jun 30, 2022",42.4,0.0,14.09,0.0,43.51
SAIHAMCOT,"Apr 30, 2023",42.4,0.0,10.78,0.0,46.82
SAIHAMCOT,"May 31, 2023",42.4,0.0,10.95,0.0,46.65
SAIHAMTEX,"Jun 30, 2022",33.7,0.0,21.04,0.0,45.26
SAIHAMTEX,"Apr 30, 2023",34.2,0.0,14.95,0.0,50.85
SAIHAMTEX,"May 31, 2023",34.2,0.0,15.53,0.0,50.27
SALAMCRST,"Jun 30, 2022",53.07,0.0,30.25,0.0,16.68
SALAMCRST,"Apr 30, 2023",48.5,0.0,34.06,0.0,17.44
SALAMCRST,"May 31, 2023",48.5,0.0,34.06,0.0,17.44
SALVOCHEM,"Jun 30, 2022",25.18,0.0,13.06,0.0,61.76
SALVOCHEM,"Apr 30, 2023",25.18,0.0,9.75,0.0,65.07
SALVOCHEM,"May 31, 2023",25.18,0.0,9.83,0.0,64.99
SAMATALETH,"Jun 30, 2022",33.88,0.0,4.24,0.0,61.88
SAMATALETH,"Apr 30, 2023",33.88,0.0,4.24,0.0,61.88
SAMATALETH,"May 31, 2023",33.88,0.0,4.22,0.0,61.9
SAMORITA,"Jun 30, 2022",45.64,0.0,6.3,0.01,48.05
SAMORITA,"Apr 30, 2023",45.64,0.0,11.18,0.01,43.17
SAMORITA,"May 31, 2023",45.64,0.0,10.09,0.01,44.26
SANDHANINS,"Dec 31, 2021",31.45,0.0,10.33,0.0,58.22
SANDHANINS,"Apr 30, 2023",31.45,0.0,13.96,0.0,54.59
SANDHANINS,"May 31, 2023",31.45,0.0,18.44,0.0,50.11
SAPORTL,"Jun 30, 2022",59.0,0.0,13.82,3.85,23.33
SAPORTL,"Apr 30, 2023",59.0,0.0,14.05,3.78,23.17
SAPORTL,"May 31, 2023",59.0,0.0,13.92,3.95,23.13
SAVAREFR,"Jun 30, 2022",50.68,0.0,7.18,0.0,42.14
SAVAREFR,"Apr 30, 2023",50.68,0.0,7.18,0.0,42.14
SAVAREFR,"May 31, 2023",50.68,0.0,7.18,0.0,42.14
SBACBANK,"Dec 31, 2021",73.48,0.0,11.64,0.0,14.88
SBACBANK,"Apr 30, 2023",75.51,0.0,9.31,0.0,15.18
SBACBANK,"May 31, 2023",75.51,0.0,9.31,0.0,15.18
SEAPEARL,"Jun 30, 2022",46.83,0.0,26.64,0.0,26.53
SEAPEARL,"Apr 30, 2023",46.83,0.0,25.91,0.0,27.26
SEAPEARL,"May 31, 2023",46.83,0.0,25.24,0.0,27.93
SEMLFBSLGF,"Jun 30, 2022",14.39,0.0,22.18,0.0,63.43
SEMLFBSLGF,"Apr 30, 2023",14.39,0.0,17.6,0.0,68.01
SEMLFBSLGF,"May 31, 2023",14.39,0.0,16.94,0.0,68.67
SEMLIBBLSF,"Jun 30, 2022",50.0,0.0,25.41,0.0,24.59
SEMLIBBLSF,"Apr 30, 2023",50.0,0.0,26.1,0.0,23.9
SEMLIBBLSF,"May 31, 2023",50.0,0.0,26.5,0.0,23.5
SEMLLECMF,"Jun 30, 2022",10.0,0.0,11.36,0.0,78.64
SEMLLECMF,"Apr 30, 2023",10.0,0.0,9.47,0.0,80.53
SEMLLECMF,"May 31, 2023",10.0,0.0,12.7,0.0,77.3
SHAHJABANK,"Dec 31, 2022",48.22,0.0,14.76,0.15,36.87
SHAHJABANK,"Apr 30, 2023",48.22,0.0,14.71,0.15,36.92
SHAHJABANK,"May 31, 2023",48.22,0.0,14.76,0.15,36.87
SHASHADNIM,"Jun 30, 2022",37.56,0.0,21.13,0.17,41.14
SHASHADNIM,"Apr 30, 2023",37.56,0.0,22.64,0.0,39.8
SHASHADNIM,"May 31, 2023",37.56,0.0,22.64,0.0,39.8
SHEPHERD,"Jun 30, 2022",51.48,0.0,23.29,9.44,15.79
SHEPHERD,"Apr 30, 2023",51.48,0.0,23.28,9.49,15.75
SHEPHERD,"May 31, 2023",51.48,0.0,23.28,9.49,15.75
SHURWID,"Jun 30, 2019",9.99,0.0,22.8,0.0,67.21
SHURWID,"Apr 30, 2023",12.01,0.0,12.05,0.0,75.94
SHURWID,"May 31, 2023",12.01,0.0,12.0,0.0,75.99
SHYAMPSUG,"Jun 30, 2022",0.0,51.0,2.43,0.0,46.57
SHYAMPSUG,"Mar 31, 2023",0.0,51.0,2.24,0.0,46.76
SHYAMPSUG,"Apr 30, 2023",0.0,51.0,2.25,0.0,46.75
SIBL,"Dec 31, 2021",32.06,0.0,47.58,1.32,19.04
SIBL,"Apr 30, 2023",32.06,0.0,48.06,1.18,18.7
SIBL,"May 31, 2023",32.06,0.0,48.42,1.18,18.34
SILCOPHL,"Jun 30, 2022",39.12,0.0,8.99,0.0,51.89
SILCOPHL,"Apr 30, 2023",39.0,0.0,12.18,0.0,48.82
SILCOPHL,"May 31, 2023",38.99,0.0,12.84,0.0,48.17
SILVAPHL,"Jun 30, 2022",51.44,0.0,13.69,0.01,34.86
SILVAPHL,"Apr 30, 2023",50.94,0.0,16.36,0.01,32.69
SILVAPHL,"May 31, 2023",50.94,0.0,15.52,0.01,33.53
SIMTEX,"Jun 30, 2022",30.0,0.0,19.16,0.0,50.84
SIMTEX,"Apr 30, 2023",31.65,0.0,15.39,0.0,52.96
SIMTEX,"May 31, 2023",31.65,0.0,12.16,0.0,56.19
SINGERBD,"Dec 31, 2022",57.0,0.0,24.86,4.52,13.62
SINGERBD,"Apr 30, 2023",57.0,0.0,24.88,4.41,13.71
SINGERBD,"May 31, 2023",57.0,0.0,24.73,4.41,13.86
SINOBANGLA,"Jun 30, 2022",30.61,0.0,4.72,0.0,64.67
SINOBANGLA,"Apr 30, 2023",30.61,0.0,14.24,0.0,55.15
SINOBANGLA,"May 31, 2023",30.61,0.0,15.52,0.0,53.87
SJIBLPBOND,"Dec 31, 2020",0.0,0.0,0.0,0.0,0.0
SKICL,"Dec 31, 2022",60.0,0.0,6.78,0.0,33.22
SKICL,"Apr 30, 2023",60.0,0.0,4.54,0.0,35.46
SKICL,"May 31, 2023",60.0,0.0,6.61,0.0,33.39
SKTRIMS,"Jun 30, 2022",31.23,0.0,23.49,0.0,45.28
SKTRIMS,"Apr 30, 2023",31.23,0.0,26.05,0.0,42.72
SKTRIMS,"May 31, 2023",31.23,0.0,24.91,0.0,43.86
SONALIANSH,"Jun 30, 2022",50.78,0.0,5.63,0.0,43.59
SONALIANSH,"Mar 31, 2023",50.78,0.0,5.63,0.0,43.59
SONALIANSH,"Apr 30, 2023",50.78,0.0,5.63,0.0,43.59
SONALILIFE,"Dec 31, 2021",54.58,0.0,5.77,0.0,39.65
SONALILIFE,"Apr 30, 2023",54.85,0.0,5.05,0.0,40.1
SONALILIFE,"May 31, 2023",54.85,0.0,11.72,0.0,33.43
SONALIPAPR,"Jun 30, 2022",67.51,0.0,10.3,0.0,22.19
SONALIPAPR,"Apr 30, 2023",67.51,0.0,6.45,0.0,26.04
SONALIPAPR,"May 31, 2023",67.51,0.0,5.3,0.0,27.19
SONARBAINS,"Dec 31, 2021",36.78,0.0,6.82,0.0,56.4
SONARBAINS,"Apr 30, 2023",39.52,0.0,10.14,0.0,50.34
SONARBAINS,"May 31, 2023",39.52,0.0,12.21,0.0,48.27
SONARGAON,"Jun 30, 2022",44.55,0.0,1.8,0.0,53.65
SONARGAON,"Apr 30, 2023",44.55,0.0,1.8,0.0,53.65
SONARGAON,"May 31, 2023",44.55,0.0,1.8,0.0,53.65
SOUTHEASTB,"Dec 31, 2021",30.42,0.0,38.78,1.27,29.53
SOUTHEASTB,"Apr 30, 2023",35.3,0.0,35.43,1.41,27.86
SOUTHEASTB,"May 31, 2023",35.3,0.0,36.63,1.41,26.66
SPCERAMICS,"Jun 30, 2022",50.0,0.0,5.04,0.0,44.96
SPCERAMICS,"Apr 30, 2023",50.0,0.0,6.5,0.0,43.5
SPCERAMICS,"May 31, 2023",50.0,0.0,6.8,0.0,43.2
SPCL,"Jun 30, 2022",60.29,0.0,17.31,0.0,22.4
SPCL,"Apr 30, 2023",59.21,0.0,16.21,0.0,24.58
SPCL,"May 31, 2023",59.21,0.0,16.21,0.0,24.58
SQUARETEXT,"Jun 30, 2022",61.83,0.0,22.69,3.09,12.39
SQUARETEXT,"Apr 30, 2023",61.83,0.0,22.4,3.07,12.7
SQUARETEXT,"May 31, 2023",61.83,0.0,22.42,3.07,12.68
SQURPHARMA,"Jun 30, 2022",34.67,0.0,14.85,13.91,36.57
SQURPHARMA,"Apr 30, 2023",34.67,0.0,15.09,13.21,37.03
SQURPHARMA,"May 31, 2023",34.67,0.0,15.21,13.13,36.99
SSSTEEL,"Jun 30, 2022",31.79,0.0,11.14,0.0,57.07
SSSTEEL,"Apr 30, 2023",31.79,0.0,11.3,0.0,56.91
SSSTEEL,"May 31, 2023",31.79,0.0,11.3,0.0,56.91
STANCERAM,"Jun 30, 2022",30.5,0.0,3.97,0.0,65.53
STANCERAM,"Apr 30, 2023",30.5,0.0,4.57,0.0,64.93
STANCERAM,"May 31, 2023",30.5,0.0,4.64,0.0,64.86
STANDARINS,"Dec 31, 2021",65.32,0.0,13.52,0.0,21.16
STANDARINS,"Apr 30, 2023",64.28,0.0,12.34,0.0,23.38
STANDARINS,"May 31, 2023",64.28,0.0,12.34,0.0,23.38
STANDBANKL,"Dec 31, 2021",38.92,0.0,25.3,0.41,35.37
STANDBANKL,"Apr 30, 2023",36.19,0.0,28.36,0.38,35.07
STANDBANKL,"May 31, 2023",36.19,0.0,28.93,0.33,34.55
STYLECRAFT,"Jun 30, 2022",38.81,0.0,4.64,0.0,56.55
STYLECRAFT,"Apr 30, 2023",38.81,0.0,1.35,0.0,59.84
STYLECRAFT,"May 31, 2023",38.81,0.0,1.34,0.0,59.85
SUMITPOWER,"Jun 30, 2022",63.21,0.0,18.77,3.65,14.37
SUMITPOWER,"Apr 30, 2023",63.18,0.0,18.67,3.65,14.5
SUMITPOWER,"May 31, 2023",63.18,0.0,18.67,3.65,14.5
SUNLIFEINS,"Dec 31, 2021",40.8,0.0,25.06,0.0,34.14
SUNLIFEINS,"Apr 30, 2023",38.29,0.0,17.67,0.0,44.04
SUNLIFEINS,"May 31, 2023",38.29,0.0,18.98,0.0,42.73
TAKAFULINS,"Dec 31, 2021",52.34,0.0,16.24,0.08,31.34
TAKAFULINS,"May 31, 2022",48.26,0.0,16.72,0.07,34.95
TAKAFULINS,"Jun 30, 2022",48.26,0.0,15.54,0.07,36.13
TALLUSPIN,"Jun 30, 2022",30.0,0.0,20.3,0.16,49.54
TALLUSPIN,"Apr 30, 2023",30.0,0.0,20.29,0.12,49.59
TALLUSPIN,"May 31, 2023",30.0,0.0,20.37,0.16,49.47
TAMIJTEX,"Jun 30, 2022",61.23,0.0,0.3,0.0,38.47
TAMIJTEX,"Apr 30, 2023",61.23,0.0,0.28,0.0,38.49
TAMIJTEX,"May 31, 2023",61.23,0.0,1.49,0.0,37.28
TILIL,"Dec 31, 2021",0.0,0.0,0.0,0.0,0.0
TILIL,"Apr 30, 2023",51.35,0.0,8.5,0.0,40.15
TITASGAS,"Jun 30, 2022",0.0,75.0,15.4,0.47,9.13
TITASGAS,"Apr 30, 2023",0.0,75.0,15.0,0.18,9.82
TITASGAS,"May 31, 2023",0.0,75.0,15.03,0.18,9.79
TOSRIFA,"Jun 30, 2022",47.12,0.0,25.41,0.0,27.47
TOSRIFA,"Apr 30, 2023",45.57,0.0,24.27,0.0,30.16
TOSRIFA,"May 31, 2023",45.57,0.0,27.41,0.0,27.02
TRUSTB1MF,"Jun 30, 2022",1.51,0.0,32.12,0.0,66.37
TRUSTB1MF,"Apr 30, 2023",1.51,0.0,32.37,0.0,66.12
TRUSTB1MF,"May 31, 2023",1.51,0.0,32.38,0.0,66.11
TRUSTBANK,"Dec 31, 2021",60.0,0.0,16.09,0.16,23.75
TRUSTBANK,"Apr 30, 2023",60.0,0.0,17.39,0.13,22.48
TRUSTBANK,"May 31, 2023",60.0,0.0,17.36,0.13,22.51
TUNGHAI,"Jun 30, 2022",30.04,0.0,7.46,0.0,62.5
TUNGHAI,"Apr 30, 2023",30.04,0.0,7.68,0.0,62.28
TUNGHAI,"May 31, 2023",30.04,0.0,7.79,0.0,62.17
UCB,"Dec 31, 2021",34.64,0.81,20.61,0.82,43.12
UCB,"Apr 30, 2023",34.64,0.81,21.4,0.73,42.42
UCB,"May 31, 2023",34.64,0.81,21.4,0.72,42.43
